iter	Passed	Remaining
399	51533	77300
400	51679	77197
401	51812	77074
402	51945	76951
403	52079	76829
404	52202	76692
405	52326	76556
406	52455	76428
407	52576	76286
408	52702	76155
409	52828	76022
410	52979	75924
411	53106	75793
412	53226	75651
413	53338	75498
414	53480	75388
415	53625	75282
416	53742	75135
417	53856	74986
418	53976	74846
419	54092	74698
420	54226	74577
421	54361	74457
422	54494	74333
423	54619	74199
424	54740	74061
425	54860	73920
426	55003	73810
427	55129	73677
428	55242	73527
429	55368	73395
430	55505	73277
431	55637	73152
432	55772	73032
433	55899	72901
434	56026	72769
435	56154	72640
436	56280	72508
437	56412	72382
438	56535	72246
439	56658	72110
440	56780	71973
441	56915	71853
442	57052	71734
443	57182	71607
444	57302	71466
445	57433	71341
446	57548	71194
447	57669	71056
448	57795	70924
449	57913	70783
450	58037	70649
451	58170	70525
452	58303	70401
453	58450	70295
454	58593	70183
455	58711	70041
456	58837	69910
457	58967	69782
458	59087	69643
459	59208	69505
460	59337	69377
461	59457	69238
462	59587	69111
463	59731	69000
464	59866	68878
465	59988	68742
466	60115	68611
467	60238	68475
468	60362	68342
469	60485	68207
470	60614	68079
471	60734	67939
472	60861	67809
473	60991	67682
474	61129	67564
475	61259	67437
476	61391	67312
477	61520	67183
478	61654	67060
479	61792	66941
480	61920	66812
481	62044	66678
482	62167	66543
483	62307	66426
484	62442	66304
485	62572	66177
486	62699	66046
487	62816	65905
488	62942	65774
489	63061	65635
490	63192	65509
491	63318	65377
492	63444	65246
493	63574	65119
494	63706	64993
495	63846	64875
496	63982	64755
497	64103	64618
498	64226	64484
499	64367	64367
500	64490	64232
501	64611	64096
502	64733	63961
503	64863	63834
504	64992	63705
505	65129	63585
506	65262	63460
507	65383	63323
508	65509	63193
509	65636	63062
510	65759	62928
511	65885	62797
512	66003	62658
513	66131	62528
514	66257	62397
515	66384	62267
516	66519	62144
517	66648	62016
518	66777	61888
519	66905	61759
520	67030	61626
521	67155	61494
522	67287	61369
523	67405	61231
524	67533	61101
525	67660	60971
526	67796	60849
527	67922	60718
528	68059	60597
529	68187	60468
530	68302	60327
531	68430	60198
532	68590	60096
533	68719	59968
534	68840	59833
535	68964	59701
536	69096	59574
537	69236	59455
538	69359	59322
539	69472	59180
540	69602	59052
541	69720	58915
542	69850	58787
543	69976	58656
544	70100	58524
545	70212	58381
546	70346	58258
547	70480	58133
548	70620	58014
549	70750	57887
550	70880	57759
551	71003	57626
552	71129	57494
553	71255	57364
554	71381	57234
555	71503	57099
556	71636	56975
557	71777	56855
558	71915	56734
559	72043	56605
560	72172	56477
561	72290	56340
562	72416	56209
563	72538	56076
564	72663	55944
565	72787	55812
566	72919	55686
567	73041	55552
568	73185	55435
569	73320	55311
570	73449	55183
571	73567	55047
572	73700	54921
573	73821	54787
574	73948	54657
575	74066	54521
576	74193	54391
577	74314	54257
578	74441	54127
579	74572	54001
580	74703	53874
581	74843	53753
582	74974	53626
583	75095	53492
584	75218	53360
585	75339	53226
586	75471	53100
587	75611	52979
588	75744	52853
589	75878	52728
590	76010	52603
591	76153	52484
592	76290	52361
593	76430	52240
594	76567	52117
595	76697	51989
596	76822	51858
597	76953	51731
598	77093	51610
599	77237	51491
600	77379	51371
601	77509	51243
602	77637	51114
603	77755	50978
604	77878	50846
605	77992	50707
606	78122	50579
607	78252	50452
608	78373	50318
609	78505	50192
610	78663	50082
611	78813	49966
612	78951	49843
613	79079	49714
614	79209	49586
615	79359	49470
616	79490	49343
617	79625	49218
618	79768	49098
619	79901	48971
620	80038	48847
621	80186	48730
622	80320	48604
623	80443	48472
624	80572	48343
625	80703	48215
626	80867	48107
627	80981	47969
628	81111	47841
629	81251	47718
630	81390	47595
631	81508	47460
632	81650	47339
633	81781	47211
634	81895	47073
635	82015	46939
636	82161	46820
637	82299	46696
638	82415	46560
639	82538	46427
640	82690	46311
641	82827	46187
642	82970	46065
643	83105	45940
644	83238	45813
645	83369	45685
646	83495	45554
647	83622	45424
648	83750	45294
649	83884	45168
650	84031	45049
651	84162	44921
