iter	MultiClass
148	0.4353729103
149	0.4344802776
150	0.4337880952
151	0.4326013391
152	0.4317302165
153	0.4306075635
154	0.4296923807
155	0.4284267287
156	0.4277749762
157	0.4269636234
158	0.4258157732
159	0.4248843662
160	0.4235845172
161	0.4228948397
162	0.4223778905
163	0.4215331627
164	0.4203357646
165	0.4197268114
166	0.4191894851
167	0.4187597678
168	0.4179387369
169	0.4172986102
170	0.4170083066
171	0.4162492284
172	0.4152824634
173	0.4145663451
174	0.4136796007
175	0.4129556024
176	0.4123025606
177	0.4116029567
178	0.4106078462
179	0.4099508507
180	0.4091433918
181	0.4084618778
182	0.4075885005
183	0.4066598494
184	0.4054907508
185	0.4047566505
186	0.4043062713
187	0.4036685954
188	0.4028978004
189	0.4019935178
190	0.4013449005
191	0.4003843797
192	0.3997684935
193	0.3993456012
194	0.3984749506
195	0.3972997429
196	0.3964040141
197	0.3951808619
198	0.3946118227
199	0.39369574
200	0.3930757721
201	0.3918212753
202	0.3913773518
203	0.39066031
204	0.389959396
205	0.3891479437
206	0.388564442
207	0.3880409428
208	0.3875663663
209	0.3864318606
210	0.3857830597
211	0.3849656213
212	0.3841801322
213	0.3834917276
214	0.3825339246
215	0.3818263373
216	0.380953272
217	0.3803038769
218	0.3794830527
219	0.3789071361
220	0.3782047492
221	0.3776384533
222	0.3771664494
223	0.3767441718
224	0.3762263861
225	0.3754497753
226	0.3749360383
227	0.3742077888
228	0.3733070007
229	0.3727816231
230	0.3720714812
231	0.3715009022
232	0.3710496551
233	0.3703288589
234	0.3692467913
235	0.3684595499
236	0.3678124154
237	0.3671311887
238	0.3665657885
239	0.3659193795
240	0.3650877276
241	0.3647784859
242	0.3639822826
243	0.3633328795
244	0.3630348183
245	0.3624464721
246	0.3618537301
247	0.3613460668
248	0.3605699885
249	0.3602587939
250	0.3596869694
251	0.3593896362
252	0.358776246
253	0.3579454741
254	0.3573122709
255	0.3567042923
256	0.3560066448
257	0.3552923594
258	0.3545735458
259	0.353788353
260	0.3534329305
261	0.3527171844
262	0.3522095737
263	0.3518205059
264	0.3510170982
265	0.3500743419
266	0.349630591
267	0.3491141302
268	0.3485710528
269	0.3479426667
270	0.347471551
271	0.3470873869
272	0.3464848026
273	0.3459089569
274	0.3454278752
275	0.3447952926
276	0.3437851574
277	0.3429787403
278	0.3425412286
279	0.3415718864
280	0.340707216
281	0.3401140587
282	0.3394874207
283	0.3387384871
284	0.3380763368
285	0.3377905535
286	0.3370039631
287	0.3366813289
288	0.3361471249
289	0.335314964
290	0.3349850961
291	0.3345678919
292	0.3335569062
293	0.3329997133
294	0.332342107
295	0.3318109011
296	0.3312625178
297	0.3305461616
298	0.329920239
299	0.329324287
300	0.3288847674
301	0.3280930782
302	0.3275379984
303	0.3268067243
304	0.3259586443
305	0.3254864304
306	0.3246489661
307	0.3239366984
308	0.3232140361
309	0.3228551746
310	0.3222276156
311	0.3215686868
312	0.3209919771
313	0.3202580364
314	0.3194855723
315	0.3190463955
316	0.3187878346
317	0.3184673254
318	0.3180425913
319	0.317296688
320	0.3164237031
321	0.3157728068
322	0.3152896867
323	0.3149272459
324	0.3144016552
325	0.3139775422
326	0.3134230804
327	0.3129993986
328	0.3125261503
329	0.3119969336
330	0.3113904065
331	0.3110134828
332	0.3105358199
333	0.3096451029
334	0.3091282747
335	0.3085616318
336	0.3081531891
337	0.3077893601
338	0.3074203299
339	0.3068918704
340	0.3063832534
341	0.3059271278
342	0.3056665293
343	0.3050600889
344	0.3047478628
345	0.304232692
346	0.3038710066
347	0.3033311111
348	0.3029942526
349	0.3027425614
350	0.3024565577
351	0.3021893982
352	0.3017838252
353	0.3013349001
354	0.3006506951
355	0.3002292222
356	0.2997534263
357	0.2993750609
358	0.2986658276
359	0.298031282
360	0.2976114805
361	0.2973639962
362	0.2970270269
363	0.2964689253
364	0.2959846308
365	0.2957318025
366	0.2952907836
367	0.2949622494
368	0.2946942761
369	0.2940259699
370	0.2935188571
371	0.293062644
372	0.2924448621
373	0.2921315904
374	0.2916919297
375	0.2911838305
376	0.2908699906
377	0.2904894383
378	0.2900112059
379	0.2898278406
380	0.2895532791
381	0.2892649223
382	0.2886309773
383	0.2883674781
384	0.288036985
385	0.2872533865
386	0.2869806293
387	0.2867577895
388	0.2862164562
389	0.2858196177
390	0.2853966718
391	0.2847697261
392	0.2843705668
393	0.2840297495
394	0.2835911109
395	0.2830593691
396	0.2824024839
397	0.2821097784
398	0.2817941437
399	0.2811832432
400	0.2809530638
401	0.2808233216
402	0.28036735
403	0.2798477863
404	0.2794400396
405	0.278953067
406	0.2786241997
407	0.2783487318
408	0.2779155535
409	0.2775873485
410	0.2773040083
411	0.2765296781
412	0.2761368219
413	0.275783407
414	0.2753811752
415	0.2751686311
416	0.2749178679
417	0.27471067
418	0.2742981874
419	0.2739173946
420	0.2735631206
421	0.273058346
422	0.272519013
423	0.2722225023
424	0.2718215297
425	0.2715606812
426	0.271144362
427	0.2708252356
428	0.2705580501
429	0.270184187
430	0.2696793494
431	0.2694447139
432	0.2691074461
433	0.2687658447
434	0.2682341659
435	0.2676240692
436	0.2672570031
437	0.2668331695
438	0.2666362359
439	0.2661984488
440	0.2658269754
441	0.2657059641
442	0.2654445986
443	0.2651563649
444	0.2648037871
445	0.2646140957
446	0.2642359919
447	0.2639176879
448	0.2634797057
449	0.2628801238
450	0.2624796854
451	0.2620063898
452	0.2616784551
453	0.2612175522
454	0.2609126826
455	0.260595599
456	0.2603083109
457	0.259907445
458	0.2596012771
459	0.2593073115
460	0.259007428
461	0.2585172207
462	0.2580972277
463	0.2578310343
464	0.257532156
465	0.2571844827
466	0.2568906065
467	0.25659322
468	0.2561699444
469	0.2558898934
470	0.2553012368
471	0.2548252836
472	0.2542791336
473	0.253851107
474	0.2535192484
475	0.2531502755
476	0.2529233779
477	0.2526735151
478	0.2524048673
479	0.2519239605
480	0.2515828477
481	0.2512404699
482	0.2508875046
483	0.2503442528
484	0.2502080258
485	0.2497570588
486	0.2493970391
487	0.2491810522
488	0.2489353202
489	0.2484959692
490	0.2480580108
491	0.2477090727
492	0.2472827893
493	0.2468168878
494	0.246331881
495	0.2460982018
496	0.24567823
497	0.2454139468
498	0.245048529
499	0.244714881
500	0.2443849348
501	0.2440886068
502	0.2438575465
503	0.2437152021
504	0.2433680122
505	0.2428650628
506	0.2426496873
507	0.2422908947
508	0.2419511477
509	0.2417136696
510	0.2412972004
511	0.2410264998
512	0.2405590451
513	0.2401069138
514	0.2397232952
515	0.2394376615
516	0.2391481243
517	0.2389432019
518	0.2384405618
519	0.2381331757
520	0.237873304
521	0.2376051001
522	0.2372269022
523	0.2368017934
524	0.2361781837
525	0.2360005566
526	0.2355757821
527	0.2353041015
528	0.2349982188
529	0.2346652368
530	0.234294963
531	0.2339809573
532	0.2337140191
533	0.2334682474
534	0.2332254022
535	0.2327888202
536	0.23241361
537	0.2322131429
538	0.2320178487
539	0.231846029
540	0.2313653534
541	0.2312177739
542	0.2309674362
543	0.2305786743
544	0.2302854189
545	0.2301563211
546	0.2296690564
547	0.2294981936
548	0.2290609279
549	0.2286695879
550	0.2281518261
551	0.2279588704
552	0.2277732397
553	0.227514773
554	0.2272009554
555	0.226983865
556	0.2267712363
557	0.2265215365
558	0.2261502579
559	0.2259784885
560	0.2254675996
561	0.2253359175
562	0.2249227142
563	0.2247389027
564	0.2243634426
565	0.2241231219
566	0.2237926942
567	0.2234577317
568	0.223218024
569	0.2227490448
570	0.2223608823
571	0.2220809397
572	0.2218307457
573	0.2215834979
574	0.221146067
575	0.2209460718
576	0.220516501
577	0.2200992282
578	0.2199255844
579	0.2196524766
580	0.2195611616
581	0.2193751966
582	0.2191025763
583	0.2189246117
584	0.2185386621
585	0.21824833
586	0.2180567989
587	0.2175351912
588	0.2171596132
589	0.2169293133
590	0.216756293
591	0.2163443295
592	0.2159843177
593	0.2157021194
594	0.2154414289
595	0.215171374
596	0.2149270872
597	0.2143899517
598	0.2141557977
599	0.2139666696
600	0.2136541383
601	0.2134838006
602	0.2132202297
603	0.2128967936
604	0.2127613275
605	0.2123087929
606	0.2120289952
607	0.2118267551
608	0.2115463397
609	0.2112044315
610	0.2110212759
611	0.2106342593
612	0.2103597382
613	0.2100716803
614	0.2098958787
615	0.2094728618
616	0.2090677853
617	0.2086403492
618	0.2085150224
619	0.2082926246
620	0.2080910783
621	0.2079132198
622	0.2076659469
623	0.2074623093
624	0.2070772191
625	0.2067351702
626	0.206536208
627	0.2063469237
628	0.2061250373
629	0.2058322495
630	0.2055158888
631	0.2051986748
632	0.2049885285
633	0.2046160251
634	0.2045099102
635	0.2043682888
636	0.2040348777
637	0.2039155781
638	0.2038096918
639	0.2035154241
640	0.2032982783
641	0.2030449437
642	0.2027975268
643	0.2026130035
644	0.2025173451
645	0.2023384441
646	0.2020831731
647	0.2017903087
648	0.2012099844
649	0.2009741245
650	0.2007604111
651	0.2005718123
652	0.2002815288
653	0.2001022052
654	0.1998942569
655	0.1996885107
656	0.1995551064
657	0.1993636182
658	0.1989668791
659	0.1988194857
660	0.1985819967
661	0.1983146839
662	0.1980879299
663	0.1980009232
664	0.1974391061
665	0.1970377459
666	0.1967460715
667	0.1964396379
668	0.1961705765
669	0.1959831319
670	0.1958213025
671	0.1956356324
672	0.195460942
673	0.1952696084
674	0.1950844351
675	0.1947676685
676	0.1946093299
677	0.1944189846
678	0.1941445113
679	0.1939270416
680	0.1937712102
681	0.1932667806
682	0.193152967
683	0.1929592922
684	0.1925890594
685	0.192343477
686	0.1921751182
687	0.1919680163
688	0.1917269807
689	0.1915370062
690	0.1913440717
691	0.191112993
692	0.1908917861
693	0.1907211466
694	0.1905196516
695	0.1902907221
696	0.1900555626
697	0.1898096633
698	0.1895790535
699	0.1892735775
700	0.1889007108
701	0.1885038307
702	0.1880236209
703	0.1878150241
704	0.187492435
705	0.1870953867
706	0.1869353184
707	0.1866768678
708	0.1864421521
709	0.1863723909
710	0.1862189709
711	0.1860730172
712	0.1857958737
713	0.185464594
714	0.1853185121
715	0.185067693
716	0.1848183449
717	0.1844200454
718	0.1842027095
719	0.1839852423
720	0.1838282662
721	0.1834944471
722	0.1833127122
723	0.183073593
724	0.1827627044
725	0.182553438
726	0.1823364386
727	0.1821034102
728	0.1817799619
729	0.1814931138
730	0.1811874665
731	0.1809803778
732	0.1808565429
733	0.1806830902
734	0.1805182784
735	0.1802112252
736	0.1800608994
737	0.17986031
738	0.1796124408
739	0.1794206987
740	0.1791899348
741	0.1789661714
742	0.1788100786
743	0.1787605374
744	0.1784971197
745	0.1782987243
746	0.1780130818
747	0.1778265038
748	0.1775704826
749	0.1774013283
750	0.1770554081
751	0.1768118473
752	0.1765731258
753	0.1763649093
754	0.1761944912
755	0.1757414619
756	0.1755423999
757	0.1753214063
758	0.1751300622
759	0.1748103568
760	0.1745051693
761	0.1742837467
762	0.1741693292
763	0.1737904532
764	0.1736732819
765	0.1735346572
766	0.1734042995
767	0.1731777533
768	0.1729967857
769	0.1726567815
770	0.1724781976
771	0.1722308026
772	0.1720197728
773	0.1718034686
774	0.1715570555
775	0.1712636524
776	0.1709686243
777	0.1707950913
778	0.1706057078
779	0.1705346239
780	0.170416939
781	0.1702805589
782	0.1701123433
783	0.1699524596
784	0.1696969152
785	0.1694305024
786	0.1693053826
787	0.1691330488
788	0.1689508553
789	0.1688978614
790	0.168647139
791	0.1684757965
792	0.1684125252
793	0.168062474
794	0.1678726248
795	0.167727258
796	0.1676292878
797	0.1673724199
798	0.1670293891
799	0.1668613669
800	0.1666913852
801	0.1663964685
802	0.1661872222
803	0.1659771965
804	0.1657901385
805	0.1654875922
806	0.1652893895
807	0.1651545917
808	0.1648684576
809	0.1645552801
810	0.1643312728
811	0.1642282242
812	0.1640933721
813	0.1639969901
814	0.1638169902
815	0.1636321716
816	0.1633980774
817	0.1632010174
818	0.1629574468
819	0.1627818194
820	0.1625104137
821	0.1623570898
822	0.1622011833
823	0.1620198449
824	0.1618625376
825	0.1617367576
826	0.1615992803
827	0.1614580675
828	0.1612394107
829	0.1611149303
830	0.1608294533
831	0.1604368583
832	0.1602240644
833	0.1599731483
834	0.1598108308
835	0.1597091804
836	0.1595094224
837	0.1593006093
838	0.1591062586
839	0.1589393073
840	0.1587267257
841	0.1586130634
842	0.1583655055
843	0.158267087
844	0.1581283339
845	0.157974666
846	0.157894806
847	0.1576492572
848	0.1574601188
849	0.1573576041
850	0.1572313232
851	0.1569480041
852	0.1567781717
853	0.1564716069
854	0.1563296209
855	0.1560531173
856	0.1558374178
857	0.155608175
858	0.1554681829
859	0.1552584454
860	0.1550069138
861	0.1548210913
862	0.1546246294
863	0.1543417842
864	0.1541853264
865	0.1540338262
866	0.1538818524
867	0.1537031018
868	0.1535178367
869	0.1532268476
870	0.1531044511
871	0.1530228496
872	0.1527997565
873	0.1525685015
874	0.152275447
875	0.1521679944
876	0.1519427984
877	0.1516899084
878	0.1516004391
879	0.1513720131
880	0.1512078761
881	0.1510397868
882	0.1508533093
883	0.1506671929
884	0.1504770336
885	0.150283063
886	0.1500996105
887	0.149995696
888	0.1497435158
889	0.1496276816
890	0.1494150241
891	0.1492814298
892	0.1491574304
893	0.1489204507
894	0.1486258696
895	0.1485300709
896	0.1483805795
897	0.1481703145
898	0.1479764295
899	0.1477677962
900	0.147585078
901	0.1474663654
902	0.1474028841
903	0.1472628426
904	0.1471075566
905	0.1469444999
906	0.1467650756
907	0.1466537289
908	0.1465456011
909	0.1463925321
910	0.1462540159
911	0.1461005137
912	0.1458925632
913	0.1457268569
914	0.1456154707
915	0.1455014591
916	0.1452889467
917	0.1451688501
918	0.1448952093
919	0.1447684746
920	0.1446324199
921	0.1444763113
922	0.1443369738
923	0.1441882282
924	0.1440087013
925	0.1438463594
926	0.1436480494
927	0.1434030898
928	0.1431595128
929	0.1430016099
930	0.1429129234
931	0.1427863417
932	0.142703215
933	0.1425782656
934	0.1423892498
935	0.1421358596
936	0.1419921099
937	0.141870798
938	0.1416734459
939	0.1414180352
940	0.141391197
941	0.1412589982
942	0.1410827712
943	0.1408314604
944	0.1406120326
945	0.1404564335
946	0.1402713077
947	0.1401005081
948	0.1399919014
949	0.1396839843
950	0.1395373975
951	0.1393710912
952	0.1391644575
953	0.1390791449
954	0.1390435083
955	0.1389430831
956	0.1387493104
957	0.138670598
958	0.138569688
959	0.1384409462
960	0.1382552592
961	0.1380034171
962	0.1378368658
963	0.1377248179
964	0.1376403777
965	0.1374947561
966	0.1373003173
967	0.1371394466
968	0.1369233989
969	0.1367940502
970	0.1366732653
971	0.1364401504
972	0.1363448082
973	0.1361573899
974	0.1359444742
975	0.135790481
976	0.1356229325
977	0.1354358993
978	0.1352677269
979	0.1352040893
980	0.1350081911
981	0.1347319872
982	0.1346222369
983	0.1344864653
984	0.1343881257
985	0.1342718297
986	0.1341722667
987	0.1340068126
988	0.1338611149
989	0.1337182617
990	0.1333845409
991	0.1332304858
992	0.1330555905
993	0.1329122688
994	0.1328081859
995	0.1326467098
996	0.1325153413
997	0.1324298777
998	0.1321033539
999	0.1319638459
